ERROR - 2018-02-05 14:21:51 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:21:54 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:21:57 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:22:00 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:22:03 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:22:06 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:22:09 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:22:12 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:22:15 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:22:18 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:22:21 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
